Lead ID,Location,College,Year of Study,Program Interest,Lead Source
LD445,Delhi,PQR College,2nd,Robotics,College Collaboration
LD446,Ahmedabad,ABC Institute,4th,Data Science,Instagram
LD447,Ahmedabad,DEF Academy,1st,Electric Vehicle,College Collaboration
LD448,Surat,XYZ University,3rd,Electric Vehicle,LinkedIn
LD449,Mumbai,XYZ University,4th,Electric Vehicle,College Collaboration
LD450,Ahmedabad,DEF Academy,1st,Electric Vehicle,Google Form
LD451,Ahmedabad,ABC Institute,3rd,Data Science,Whatsapp
LD452,Surat,ABC Institute,4th,AI,Whatsapp
LD453,Surat,PQR College,2nd,Data Science,College Collaboration
LD454,Mumbai,PQR College,3rd,Robotics,Google Form
LD455,Surat,ABC Institute,3rd,Data Science,LinkedIn
LD456,Ahmedabad,XYZ University,3rd,Data Science,LinkedIn
LD457,Delhi,DEF Academy,3rd,AI,Whatsapp
LD458,Delhi,DEF Academy,4th,Robotics,Google Form
LD459,Delhi,ABC Institute,3rd,Robotics,Mass-Mailing
LD460,Pune,XYZ University,4th,Electric Vehicle,Instagram
LD461,Ahmedabad,DEF Academy,1st,Electric Vehicle,College Collaboration
LD462,Delhi,DEF Academy,2nd,Electric Vehicle,Google Form
LD463,Ahmedabad,PQR College,3rd,AI,Whatsapp
LD464,Mumbai,XYZ University,3rd,AI,Instagram
LD465,Pune,PQR College,3rd,Data Science,Whatsapp
LD466,Pune,ABC Institute,4th,Robotics,Instagram
LD467,Surat,PQR College,4th,Electric Vehicle,Google Form
LD468,Mumbai,DEF Academy,4th,Data Science,LinkedIn
LD469,Pune,DEF Academy,4th,Robotics,Google Form
LD470,Surat,ABC Institute,4th,Data Science,College Collaboration
LD471,Surat,ABC Institute,1st,Electric Vehicle,Mass-Mailing
LD472,Ahmedabad,DEF Academy,1st,Electric Vehicle,Instagram
LD473,Mumbai,ABC Institute,2nd,Electric Vehicle,Google Form
LD474,Delhi,DEF Academy,3rd,Data Science,Whatsapp
LD475,Mumbai,PQR College,1st,Electric Vehicle,Whatsapp
LD476,Pune,ABC Institute,2nd,Electric Vehicle,College Collaboration
LD477,Ahmedabad,PQR College,1st,Robotics,College Collaboration
LD478,Pune,ABC Institute,4th,Robotics,Instagram
LD479,Ahmedabad,DEF Academy,1st,Data Science,Whatsapp
LD480,Delhi,PQR College,3rd,Electric Vehicle,Whatsapp
LD481,Mumbai,XYZ University,3rd,Robotics,Mass-Mailing
LD482,Pune,XYZ University,2nd,AI,College Collaboration
LD483,Delhi,DEF Academy,4th,Electric Vehicle,Whatsapp
LD484,Pune,XYZ University,1st,AI,Instagram
LD485,Delhi,PQR College,4th,Electric Vehicle,Mass-Mailing
LD486,Ahmedabad,XYZ University,4th,AI,Instagram
LD487,Ahmedabad,XYZ University,3rd,Data Science,Google Form
LD488,Pune,XYZ University,3rd,Electric Vehicle,Mass-Mailing
LD489,Pune,XYZ University,2nd,Robotics,LinkedIn
LD490,Surat,DEF Academy,1st,Data Science,Google Form
LD491,Mumbai,ABC Institute,4th,Electric Vehicle,Google Form
LD492,Surat,DEF Academy,1st,Data Science,LinkedIn
LD493,Pune,DEF Academy,4th,Robotics,College Collaboration
LD494,Pune,XYZ University,3rd,Robotics,Mass-Mailing
LD495,Ahmedabad,XYZ University,1st,Electric Vehicle,LinkedIn
LD496,Ahmedabad,XYZ University,2nd,Data Science,Instagram
LD497,Ahmedabad,ABC Institute,3rd,Robotics,Instagram
LD498,Mumbai,XYZ University,1st,AI,Mass-Mailing
LD499,Delhi,ABC Institute,3rd,AI,Whatsapp
LD500,Pune,DEF Academy,1st,Electric Vehicle,College Collaboration
LD501,Delhi,XYZ University,2nd,Data Science,Google Form
LD502,Delhi,ABC Institute,4th,Electric Vehicle,Instagram
LD503,Mumbai,DEF Academy,3rd,Robotics,Google Form
LD504,Delhi,PQR College,1st,Data Science,Google Form
LD505,Mumbai,XYZ University,1st,Robotics,Google Form
LD506,Pune,DEF Academy,1st,AI,Whatsapp
LD507,Surat,DEF Academy,3rd,Robotics,Mass-Mailing
LD508,Mumbai,XYZ University,2nd,Data Science,Mass-Mailing
LD509,Surat,XYZ University,2nd,Electric Vehicle,Whatsapp
LD510,Pune,ABC Institute,4th,Electric Vehicle,Mass-Mailing
LD511,Ahmedabad,XYZ University,3rd,Data Science,Google Form
LD512,Mumbai,ABC Institute,4th,AI,Google Form
LD513,Pune,DEF Academy,2nd,Electric Vehicle,Whatsapp
LD514,Mumbai,XYZ University,4th,Data Science,Mass-Mailing
LD515,Pune,XYZ University,2nd,AI,Mass-Mailing
LD516,Delhi,PQR College,4th,Robotics,Google Form
LD517,Delhi,ABC Institute,2nd,Data Science,LinkedIn
LD518,Pune,DEF Academy,4th,AI,Google Form
LD519,Pune,XYZ University,2nd,Robotics,Whatsapp
LD520,Mumbai,PQR College,4th,Robotics,Mass-Mailing
LD521,Surat,ABC Institute,1st,Electric Vehicle,LinkedIn
LD522,Surat,XYZ University,2nd,Data Science,College Collaboration
LD523,Surat,DEF Academy,3rd,AI,LinkedIn
LD524,Pune,DEF Academy,2nd,AI,Mass-Mailing
LD525,Ahmedabad,PQR College,2nd,AI,LinkedIn
LD526,Delhi,ABC Institute,2nd,Electric Vehicle,LinkedIn
LD527,Ahmedabad,ABC Institute,4th,Data Science,Instagram
LD528,Mumbai,XYZ University,1st,Robotics,College Collaboration
LD529,Ahmedabad,ABC Institute,2nd,AI,LinkedIn
LD530,Surat,ABC Institute,3rd,Data Science,Instagram
LD531,Delhi,PQR College,1st,AI,Google Form
LD532,Ahmedabad,XYZ University,2nd,AI,LinkedIn
LD533,Delhi,ABC Institute,2nd,Robotics,Whatsapp
LD534,Surat,XYZ University,2nd,Electric Vehicle,Whatsapp
LD535,Pune,ABC Institute,2nd,Electric Vehicle,Google Form
LD536,Delhi,PQR College,3rd,Robotics,Mass-Mailing
LD537,Delhi,PQR College,2nd,Data Science,Mass-Mailing
LD538,Surat,PQR College,3rd,Robotics,Google Form
LD539,Pune,ABC Institute,2nd,Robotics,Google Form
LD540,Pune,PQR College,1st,Data Science,Instagram
LD541,Ahmedabad,XYZ University,3rd,Robotics,Google Form
LD542,Mumbai,ABC Institute,3rd,Electric Vehicle,Mass-Mailing
LD543,Mumbai,PQR College,1st,Electric Vehicle,Mass-Mailing
LD544,Surat,PQR College,4th,Electric Vehicle,Mass-Mailing
LD545,Pune,DEF Academy,2nd,Data Science,Google Form
LD546,Pune,PQR College,3rd,Data Science,College Collaboration
LD547,Mumbai,ABC Institute,3rd,Data Science,Google Form
LD548,Mumbai,ABC Institute,2nd,AI,Google Form
LD549,Delhi,PQR College,3rd,Electric Vehicle,Mass-Mailing
LD550,Surat,PQR College,1st,AI,Google Form
LD551,Delhi,PQR College,2nd,Robotics,LinkedIn
LD552,Mumbai,ABC Institute,1st,Electric Vehicle,Google Form
LD553,Delhi,XYZ University,3rd,Robotics,Google Form
LD554,Delhi,PQR College,4th,Data Science,Mass-Mailing
LD555,Mumbai,ABC Institute,2nd,Data Science,Whatsapp
LD556,Surat,DEF Academy,1st,Electric Vehicle,Google Form
LD557,Delhi,PQR College,2nd,Data Science,Instagram
LD558,Mumbai,ABC Institute,2nd,Robotics,College Collaboration
LD559,Ahmedabad,DEF Academy,1st,AI,LinkedIn
LD560,Delhi,ABC Institute,2nd,AI,Mass-Mailing
LD561,Ahmedabad,ABC Institute,2nd,AI,Whatsapp
LD562,Mumbai,DEF Academy,2nd,AI,College Collaboration
LD563,Surat,ABC Institute,3rd,Robotics,Mass-Mailing
LD564,Surat,XYZ University,3rd,AI,College Collaboration
LD565,Surat,DEF Academy,2nd,Robotics,College Collaboration
LD566,Pune,XYZ University,2nd,Electric Vehicle,College Collaboration
LD567,Surat,XYZ University,1st,Data Science,LinkedIn
LD568,Mumbai,DEF Academy,3rd,AI,Whatsapp
LD569,Delhi,DEF Academy,2nd,Data Science,Whatsapp
LD570,Delhi,XYZ University,2nd,Electric Vehicle,College Collaboration
LD571,Delhi,DEF Academy,3rd,Data Science,LinkedIn
LD572,Surat,ABC Institute,2nd,Robotics,Whatsapp
LD573,Ahmedabad,PQR College,2nd,Electric Vehicle,College Collaboration
LD574,Mumbai,XYZ University,2nd,AI,Mass-Mailing
LD575,Delhi,DEF Academy,3rd,Data Science,College Collaboration
LD576,Delhi,PQR College,1st,Electric Vehicle,Whatsapp
LD577,Surat,DEF Academy,1st,Robotics,College Collaboration
LD578,Pune,PQR College,2nd,Data Science,LinkedIn
LD579,Pune,XYZ University,4th,Robotics,Whatsapp
LD580,Ahmedabad,ABC Institute,3rd,AI,College Collaboration
LD581,Pune,XYZ University,1st,AI,Instagram
LD582,Pune,DEF Academy,2nd,Electric Vehicle,Whatsapp
LD583,Pune,DEF Academy,3rd,Electric Vehicle,Google Form
LD584,Surat,DEF Academy,3rd,AI,Mass-Mailing
LD585,Delhi,PQR College,2nd,AI,LinkedIn
LD586,Pune,DEF Academy,1st,Data Science,Instagram
LD587,Surat,DEF Academy,1st,Electric Vehicle,LinkedIn
LD588,Delhi,DEF Academy,2nd,Electric Vehicle,LinkedIn
LD589,Surat,DEF Academy,2nd,AI,LinkedIn
LD590,Pune,XYZ University,1st,Electric Vehicle,Whatsapp
LD591,Surat,PQR College,1st,Electric Vehicle,Whatsapp
LD592,Surat,DEF Academy,1st,Data Science,LinkedIn
LD593,Delhi,DEF Academy,4th,AI,Mass-Mailing
LD594,Surat,DEF Academy,3rd,Robotics,Google Form
LD595,Mumbai,DEF Academy,1st,Robotics,Mass-Mailing
LD596,Delhi,ABC Institute,1st,AI,College Collaboration
LD597,Surat,PQR College,3rd,Robotics,Instagram
LD598,Ahmedabad,ABC Institute,3rd,Data Science,Google Form
LD599,Surat,PQR College,3rd,AI,Whatsapp
LD600,Mumbai,PQR College,1st,Data Science,LinkedIn
LD601,Mumbai,DEF Academy,2nd,Robotics,College Collaboration
LD602,Surat,ABC Institute,2nd,Robotics,Google Form
LD603,Surat,XYZ University,3rd,AI,Instagram
LD604,Delhi,ABC Institute,1st,Robotics,Instagram
LD605,Delhi,XYZ University,2nd,Data Science,College Collaboration
LD606,Delhi,ABC Institute,3rd,AI,Whatsapp
LD607,Mumbai,XYZ University,2nd,AI,Instagram
LD608,Pune,DEF Academy,2nd,Robotics,Instagram
LD609,Pune,ABC Institute,2nd,Electric Vehicle,Instagram
LD610,Ahmedabad,XYZ University,4th,Robotics,Instagram
LD611,Delhi,XYZ University,1st,AI,Mass-Mailing
LD612,Pune,PQR College,1st,Data Science,College Collaboration
LD613,Pune,PQR College,1st,Electric Vehicle,Instagram
LD614,Pune,XYZ University,3rd,Data Science,Whatsapp
LD615,Delhi,XYZ University,4th,Robotics,LinkedIn
LD616,Ahmedabad,DEF Academy,2nd,Electric Vehicle,College Collaboration
LD617,Pune,XYZ University,1st,Data Science,Google Form
LD618,Delhi,DEF Academy,2nd,Data Science,Instagram
LD619,Surat,XYZ University,4th,Robotics,Google Form
LD620,Delhi,XYZ University,3rd,Data Science,LinkedIn
LD621,Mumbai,DEF Academy,1st,Robotics,Mass-Mailing
LD622,Surat,ABC Institute,1st,Data Science,Mass-Mailing
LD623,Mumbai,DEF Academy,4th,Robotics,College Collaboration
LD624,Delhi,XYZ University,4th,AI,College Collaboration
LD625,Pune,PQR College,2nd,Electric Vehicle,LinkedIn
LD626,Mumbai,PQR College,1st,Electric Vehicle,Mass-Mailing
LD627,Surat,ABC Institute,4th,Data Science,College Collaboration
LD628,Mumbai,ABC Institute,2nd,AI,LinkedIn
LD629,Delhi,PQR College,3rd,Robotics,Mass-Mailing
LD630,Ahmedabad,ABC Institute,1st,Electric Vehicle,Instagram
LD631,Delhi,PQR College,1st,Data Science,Google Form
LD632,Surat,XYZ University,3rd,Robotics,Google Form
LD633,Mumbai,PQR College,3rd,AI,Instagram
LD634,Mumbai,XYZ University,3rd,Data Science,Mass-Mailing
LD635,Pune,ABC Institute,1st,Data Science,Whatsapp
LD636,Ahmedabad,DEF Academy,2nd,Electric Vehicle,Instagram
LD637,Ahmedabad,DEF Academy,3rd,Electric Vehicle,Instagram
LD638,Mumbai,DEF Academy,2nd,Data Science,Mass-Mailing
LD639,Surat,ABC Institute,4th,Electric Vehicle,Instagram
LD640,Ahmedabad,DEF Academy,1st,Robotics,Whatsapp
LD641,Ahmedabad,DEF Academy,1st,Robotics,Google Form
LD642,Pune,ABC Institute,3rd,AI,Mass-Mailing
LD643,Mumbai,DEF Academy,1st,Robotics,Mass-Mailing
LD644,Surat,XYZ University,2nd,Data Science,Whatsapp
LD645,Mumbai,DEF Academy,2nd,Robotics,LinkedIn
LD646,Ahmedabad,XYZ University,3rd,AI,Instagram
LD647,Ahmedabad,ABC Institute,2nd,Electric Vehicle,Google Form
LD648,Surat,ABC Institute,2nd,Robotics,Google Form
LD649,Ahmedabad,DEF Academy,4th,Electric Vehicle,Whatsapp
LD650,Pune,DEF Academy,3rd,AI,LinkedIn
LD651,Pune,PQR College,1st,Robotics,LinkedIn
LD652,Surat,XYZ University,3rd,Robotics,Google Form
LD653,Pune,ABC Institute,4th,Data Science,Google Form
LD654,Delhi,PQR College,3rd,Data Science,Instagram
LD655,Pune,ABC Institute,2nd,Robotics,LinkedIn
LD656,Ahmedabad,PQR College,3rd,Robotics,Google Form
LD657,Pune,ABC Institute,3rd,Data Science,Whatsapp
LD658,Delhi,DEF Academy,3rd,Electric Vehicle,College Collaboration
LD659,Pune,PQR College,2nd,Robotics,Instagram
LD660,Ahmedabad,PQR College,1st,Electric Vehicle,Mass-Mailing
LD661,Delhi,ABC Institute,4th,Electric Vehicle,College Collaboration
LD662,Delhi,ABC Institute,3rd,Data Science,LinkedIn
LD663,Pune,XYZ University,1st,Data Science,Mass-Mailing
LD664,Ahmedabad,PQR College,2nd,Data Science,LinkedIn
LD665,Pune,XYZ University,4th,Robotics,Google Form
LD666,Pune,XYZ University,4th,Electric Vehicle,Instagram
LD667,Surat,XYZ University,2nd,Data Science,College Collaboration
LD668,Surat,PQR College,4th,Robotics,Whatsapp
LD669,Mumbai,PQR College,3rd,Data Science,Instagram
LD670,Mumbai,XYZ University,3rd,Electric Vehicle,College Collaboration
LD671,Surat,PQR College,4th,Electric Vehicle,LinkedIn
LD672,Pune,DEF Academy,3rd,Data Science,Whatsapp
LD673,Surat,DEF Academy,4th,Robotics,Whatsapp
LD674,Pune,ABC Institute,3rd,AI,Whatsapp
LD675,Mumbai,PQR College,4th,Electric Vehicle,College Collaboration
LD676,Delhi,XYZ University,1st,AI,Whatsapp
LD677,Delhi,XYZ University,2nd,Robotics,Mass-Mailing
LD678,Delhi,DEF Academy,1st,Electric Vehicle,Instagram
LD679,Surat,PQR College,3rd,Electric Vehicle,Mass-Mailing
LD680,Mumbai,DEF Academy,1st,Robotics,Whatsapp
LD681,Surat,PQR College,4th,Data Science,Whatsapp
LD682,Surat,ABC Institute,4th,Robotics,Google Form
LD683,Pune,XYZ University,4th,Electric Vehicle,Whatsapp
LD684,Pune,PQR College,2nd,AI,Mass-Mailing
LD685,Mumbai,DEF Academy,2nd,Data Science,Mass-Mailing
LD686,Surat,ABC Institute,3rd,Robotics,Whatsapp
LD687,Surat,DEF Academy,1st,Electric Vehicle,College Collaboration
LD688,Delhi,PQR College,1st,Robotics,LinkedIn
LD689,Ahmedabad,DEF Academy,3rd,AI,LinkedIn
LD690,Pune,XYZ University,3rd,Electric Vehicle,Mass-Mailing
LD691,Ahmedabad,DEF Academy,2nd,Electric Vehicle,College Collaboration
LD692,Surat,PQR College,1st,Electric Vehicle,Mass-Mailing
LD693,Ahmedabad,XYZ University,3rd,AI,Google Form
LD694,Ahmedabad,ABC Institute,2nd,AI,Mass-Mailing
LD695,Ahmedabad,PQR College,3rd,Electric Vehicle,Mass-Mailing
LD696,Pune,ABC Institute,3rd,Data Science,LinkedIn
LD697,Pune,ABC Institute,4th,Robotics,Instagram
LD698,Pune,ABC Institute,4th,Electric Vehicle,Google Form
LD699,Pune,PQR College,3rd,AI,Whatsapp
LD700,Delhi,ABC Institute,3rd,Data Science,Google Form
LD701,Mumbai,XYZ University,4th,Robotics,College Collaboration
LD702,Delhi,XYZ University,3rd,Electric Vehicle,Whatsapp
LD703,Mumbai,ABC Institute,2nd,AI,LinkedIn
LD704,Pune,DEF Academy,2nd,Electric Vehicle,LinkedIn
LD705,Pune,PQR College,3rd,Electric Vehicle,LinkedIn
LD706,Delhi,ABC Institute,4th,Electric Vehicle,Whatsapp
LD707,Ahmedabad,XYZ University,4th,Electric Vehicle,LinkedIn
LD708,Delhi,PQR College,3rd,Data Science,Google Form
LD709,Delhi,PQR College,2nd,Electric Vehicle,Google Form
LD710,Ahmedabad,ABC Institute,4th,AI,Mass-Mailing
LD711,Surat,XYZ University,1st,AI,Instagram
LD712,Surat,ABC Institute,3rd,AI,Instagram
LD713,Mumbai,DEF Academy,3rd,Electric Vehicle,Mass-Mailing
LD714,Pune,PQR College,3rd,Robotics,College Collaboration
LD715,Ahmedabad,ABC Institute,2nd,AI,LinkedIn
LD716,Mumbai,ABC Institute,1st,AI,Mass-Mailing
LD717,Pune,PQR College,2nd,Robotics,Google Form
LD718,Ahmedabad,DEF Academy,1st,Electric Vehicle,LinkedIn
LD719,Pune,DEF Academy,4th,Data Science,LinkedIn
LD720,Surat,XYZ University,3rd,Data Science,Google Form
LD721,Surat,PQR College,1st,Data Science,LinkedIn
LD722,Ahmedabad,DEF Academy,2nd,AI,Whatsapp
LD723,Delhi,DEF Academy,3rd,Data Science,Google Form
LD724,Delhi,DEF Academy,4th,Robotics,Instagram
LD725,Mumbai,ABC Institute,1st,AI,College Collaboration
LD726,Surat,ABC Institute,1st,AI,Google Form
LD727,Delhi,ABC Institute,4th,Robotics,Google Form
LD728,Mumbai,DEF Academy,3rd,Robotics,College Collaboration
LD729,Pune,PQR College,1st,Data Science,Instagram
LD730,Surat,DEF Academy,4th,Robotics,Instagram
LD731,Ahmedabad,DEF Academy,1st,Robotics,Whatsapp
LD732,Pune,DEF Academy,1st,Data Science,Mass-Mailing
LD733,Delhi,DEF Academy,3rd,Data Science,Whatsapp
LD734,Mumbai,ABC Institute,1st,AI,Mass-Mailing
LD735,Mumbai,DEF Academy,3rd,Data Science,College Collaboration
LD736,Delhi,ABC Institute,2nd,Robotics,College Collaboration
LD737,Surat,XYZ University,4th,Electric Vehicle,LinkedIn
LD738,Ahmedabad,XYZ University,3rd,AI,LinkedIn
LD739,Pune,XYZ University,2nd,Robotics,Google Form
LD740,Pune,DEF Academy,3rd,Electric Vehicle,Google Form
LD741,Delhi,XYZ University,3rd,Electric Vehicle,Mass-Mailing
LD742,Pune,XYZ University,4th,Data Science,Whatsapp
LD743,Delhi,XYZ University,2nd,Robotics,Whatsapp
LD744,Pune,PQR College,1st,Electric Vehicle,Whatsapp
LD745,Mumbai,PQR College,1st,AI,LinkedIn
LD746,Surat,DEF Academy,1st,Electric Vehicle,Google Form
LD747,Surat,DEF Academy,1st,AI,Mass-Mailing
LD748,Surat,ABC Institute,2nd,AI,Google Form
LD749,Surat,DEF Academy,1st,AI,Google Form
LD750,Delhi,DEF Academy,3rd,Electric Vehicle,College Collaboration
LD751,Surat,DEF Academy,4th,AI,Instagram
LD752,Ahmedabad,PQR College,1st,Data Science,LinkedIn
LD753,Surat,ABC Institute,1st,AI,Mass-Mailing
LD754,Pune,DEF Academy,2nd,Electric Vehicle,Google Form
LD755,Mumbai,DEF Academy,4th,AI,Instagram
LD756,Mumbai,ABC Institute,3rd,Electric Vehicle,Mass-Mailing
LD757,Ahmedabad,DEF Academy,3rd,Data Science,Mass-Mailing
LD758,Surat,DEF Academy,1st,Robotics,College Collaboration
LD759,Ahmedabad,ABC Institute,4th,Electric Vehicle,Whatsapp
LD760,Pune,XYZ University,1st,Electric Vehicle,Mass-Mailing
LD761,Mumbai,PQR College,4th,Electric Vehicle,Google Form
LD762,Pune,ABC Institute,1st,AI,Google Form
LD763,Mumbai,ABC Institute,2nd,AI,Google Form
LD764,Pune,PQR College,4th,AI,Instagram
LD765,Pune,DEF Academy,1st,AI,College Collaboration
LD766,Delhi,PQR College,4th,Electric Vehicle,Instagram
LD767,Surat,DEF Academy,1st,Data Science,Mass-Mailing
LD768,Surat,XYZ University,1st,Data Science,Whatsapp
LD769,Ahmedabad,DEF Academy,4th,Data Science,LinkedIn
LD770,Delhi,XYZ University,3rd,AI,Whatsapp
LD771,Ahmedabad,ABC Institute,3rd,AI,Mass-Mailing
LD772,Mumbai,ABC Institute,2nd,Electric Vehicle,Google Form
LD773,Delhi,ABC Institute,4th,Robotics,Google Form
LD774,Mumbai,ABC Institute,4th,AI,College Collaboration
LD775,Ahmedabad,PQR College,2nd,AI,Whatsapp
LD776,Surat,PQR College,3rd,AI,Google Form
LD777,Delhi,DEF Academy,2nd,Data Science,Instagram
LD778,Delhi,ABC Institute,1st,Electric Vehicle,Instagram
LD779,Surat,PQR College,2nd,AI,Mass-Mailing
LD780,Mumbai,ABC Institute,1st,Robotics,College Collaboration
LD781,Pune,ABC Institute,2nd,AI,Instagram
LD782,Mumbai,ABC Institute,1st,Robotics,Whatsapp
LD783,Pune,PQR College,1st,Robotics,Mass-Mailing
LD784,Pune,ABC Institute,4th,Electric Vehicle,Whatsapp
LD785,Surat,ABC Institute,1st,Data Science,College Collaboration
LD786,Pune,XYZ University,4th,Electric Vehicle,LinkedIn
LD787,Mumbai,ABC Institute,4th,Electric Vehicle,College Collaboration
LD788,Delhi,PQR College,1st,Robotics,Mass-Mailing
LD789,Pune,DEF Academy,2nd,AI,Instagram
LD790,Surat,XYZ University,1st,AI,LinkedIn
LD791,Pune,PQR College,2nd,AI,Mass-Mailing
LD792,Ahmedabad,DEF Academy,4th,Robotics,Google Form
LD793,Delhi,PQR College,1st,Data Science,LinkedIn
LD794,Surat,DEF Academy,3rd,AI,College Collaboration
LD795,Mumbai,DEF Academy,4th,Electric Vehicle,Instagram
LD796,Ahmedabad,XYZ University,4th,Robotics,College Collaboration
LD797,Ahmedabad,PQR College,1st,Electric Vehicle,College Collaboration
LD798,Ahmedabad,PQR College,3rd,Electric Vehicle,College Collaboration
LD799,Delhi,XYZ University,3rd,Electric Vehicle,Instagram
LD800,Pune,ABC Institute,4th,Robotics,Google Form
LD801,Mumbai,DEF Academy,3rd,Robotics,Google Form
LD802,Mumbai,XYZ University,4th,Data Science,Whatsapp
LD803,Mumbai,DEF Academy,4th,AI,Mass-Mailing
LD804,Surat,XYZ University,4th,Data Science,College Collaboration
LD805,Delhi,ABC Institute,2nd,Data Science,Mass-Mailing
LD806,Delhi,PQR College,3rd,Robotics,LinkedIn
LD807,Pune,DEF Academy,3rd,AI,Instagram
LD808,Mumbai,PQR College,4th,Electric Vehicle,Mass-Mailing
LD809,Mumbai,XYZ University,4th,Robotics,Whatsapp
LD810,Pune,XYZ University,3rd,AI,Whatsapp
LD811,Ahmedabad,PQR College,3rd,Electric Vehicle,Google Form
LD812,Mumbai,ABC Institute,3rd,Electric Vehicle,Mass-Mailing
LD813,Ahmedabad,XYZ University,3rd,Data Science,College Collaboration
LD814,Delhi,DEF Academy,2nd,AI,Google Form
LD815,Ahmedabad,PQR College,2nd,Data Science,Google Form
LD816,Mumbai,DEF Academy,4th,Data Science,Google Form
LD817,Pune,ABC Institute,3rd,Data Science,College Collaboration
LD818,Mumbai,DEF Academy,4th,Robotics,Whatsapp
LD819,Surat,ABC Institute,1st,Robotics,Mass-Mailing
LD820,Ahmedabad,XYZ University,2nd,AI,Whatsapp
LD821,Delhi,ABC Institute,1st,Data Science,Google Form
LD822,Ahmedabad,DEF Academy,1st,Robotics,Instagram
LD823,Surat,ABC Institute,4th,Electric Vehicle,Instagram
LD824,Pune,PQR College,1st,Data Science,Mass-Mailing
LD825,Delhi,XYZ University,2nd,Electric Vehicle,College Collaboration
LD826,Surat,XYZ University,1st,Electric Vehicle,Mass-Mailing
LD827,Surat,XYZ University,4th,Electric Vehicle,College Collaboration
LD828,Ahmedabad,ABC Institute,2nd,AI,Google Form
LD829,Surat,ABC Institute,3rd,AI,Mass-Mailing
LD830,Surat,XYZ University,3rd,AI,College Collaboration
LD831,Pune,DEF Academy,1st,AI,LinkedIn
